75	M4	1.79
75	M5	1.79
76	K	44.6
76	L1	7.2
76	L2	5.09
76	L3	5.09
76	M1	14.7
76	M2	8.6
76	M3	7.5
76	M4	1.89
76	M5	1.89
77	K	47.0
77	L1	7.9
77	L2	5.23
77	L3	5.24
77	M1	14.8
77	M2	8.9
77	M3	8.0
77	M4	1.99
77	M5	1.99
78	K	49.5
78	L1	8.8
78	L2	5.38
78	L3	5.39
78	M1	14.9
78	M2	9.2
78	M3	8.3
78	M4	2.08
78	M5	2.08
79	K	52.1
79	L1	9.8
79	L2	5.53
79	L3	5.54
79	M1	15.0
79	M2	9.5
79	M3	8.5
79	M4	2.18
79	M5	2.18
80	K	54.8
80	L1	10.5
80	L2	5.69
80	L3	5.71
80	M1	15.1
80	M2	9.8
80	M3	8.6
80	M4	2.28
80	M5	2.28
81	K	57.6
81	L1	11.1
81	L2	5.87
81	L3	5.89
81	M1	15.1
81	M2	10.1
81	M3	8.7
81	M4	2.38
81	M5	2.38
82	K	60.6
82	L1	11.8
82	L2	5.04
82	L3	6.07
82	M1	15.2
82	M2	10.4
82	M3	8.7
82	M4	2.48
82	M5	2.48
83	K	63.6
83	L1	12.3
83	L2	6.22
83	L3	6.27
83	M1	15.2
83	M2	10.7
83	M3	8.6
83	M4	2.58
83	M5	2.58
84	K	66.8
84	L1	12.7
84	L2	6.41
84	L3	6.46
84	M1	15.3
84	M2	11.1
84	M3	8.5
84	M4	2.68
84	M5	2.68
85	K	70.0
85	L1	13.0
85	L2	6.6
85	L3	6.66
85	M1	15.3
85	M2	11.4
85	M3	8.4
85	M4	2.78
85	M5	2.78
86	K	73.4
86	L1	13.2
86	L2	6.81
86	L3	6.87
86	M1	15.3
86	M2	11.7
86	M3	8.3
86	M4	2.88
86	M5	2.88
87	K	76.9
87	L1	13.5
87	L2	7.02
87	L3	7.08
87	M1	15.4
87	M2	12.1
87	M3	8.2
87	M4	2.98
87	M5	2.98
88	K	80.6
88	L1	13.7
88	L2	7.5
88	L3	7.29
88	M1	15.4
88	M2	12.5
88	M3	8.2
88	M4	3.08
88	M5	3.08
89	K	84.4
89	L1	14.0
89	L2	8.0
89	L3	7.51
89	M1	15.4
89	M2	12.9
89	M3	8.0
89	M4	3.18
89	M5	3.18
90	K	88.2
90	L1	14.3
90	L2	8.5
90	L3	7.74
90	M1	15.5
90	M2	13.2
90	M3	8.0
90	M4	3.28
90	M5	3.28
91	K	92.1
91	L1	14.7
91	L2	9.1
91	L3	7.97
91	M1	15.5
91	M2	13.6
91	M3	7.9
91	M4	3.39
91	M5	3.39
92	K	96.3
92	L1	16.0
92	L2	10.0
92	L3	8.2
92	M1	15.5
92	M2	14.1
92	M3	7.9
92	M4	3.50
92	M5	3.50
36	N1	0.4
37	N1	1.2
38	N1	1.6
38	N2	0.4
39	N1	2.0
39	N2	0.8
39	N3	0.3
40	N1	2.4
40	N2	1.2
40	N3	0.6
41	N1	2.8
41	N2	1.5
41	N3	1.0
42	N1	3.2
42	N2	2.2
42	N3	1.6
43	N1	3.5
43	N2	2.7
43	N3	2.2
44	N1	3.9
44	N2	3.2
44	N3	2.8
45	N1	4.2
45	N2	4.2
45	N3	3.8
46	N1	4.35
46	N2	6.4
46	N3	5.6
47	N1	4.4
47	N2	8.4
47	N3	8.0
48	N1	4.4
48	N2	10.8
48	N3	10.5
49	N1	4.2
49	N2	13.2
49	N3	14.0
50	N1	3.4
50	N2	17.0
50	N3	17.0
50	N4	0.08
50	N5	0.08
51	N1	2.6
51	N4	0.14	
51	N5	0.14	
52	N1	2.4
52	N4	0.17	
52	N5	0.2	
53	N1	2.4
53	N4	0.11	
53	N5	0.12	
54	N1	2.6
54	N4	0.1	
54	N5	0.08	
55	N1	2.8
55	N4	0.08	
55	N5	0.08	
56	N1	3.1
56	N2	5.0
56	N3	1.3
56	N4	0.08	
56	N5	0.08	
57	N1	3.3
57	N2	5.03
57	N3	1.45
57	N4	0.09	
57	N5	0.1	
58	N1	3.5
58	N2	5.06
58	N3	1.6
58	N4	0.61	
58	N5	0.32	
59	N1	3.7
59	N2	5.08
59	N3	1.75
59	N4	0.78	
59	N5	0.53	
60	N1	4.0
60	N2	5.1
60	N3	1.9
60	N4	1.05	
60	N5	0.8	
61	N1	4.2
61	N2	5.13
61	N3	2.05
61	N4	1.38	
61	N5	1.11	
62	N1	4.4
62	N2	5.16
62	N3	2.2
62	N4	1.78	
62	N5	1.48	
63	N1	4.6
63	N2	5.2
63	N3	2.35
63	N4	2.2	
63	N5	1.9	
64	N1	4.9
64	N2	5.23
64	N3	2.5
64	N4	2.45	
64	N5	2.2	
65	N1	5.1
65	N2	5.26
65	N3	2.65
65	N4	2.7	
65	N5	2.4	
66	N1	5.4
66	N2	5.3
66	N3	2.8
66	N4	2.95	
66	N5	2.6	
67	N1	5.6
67	N2	5.33
67	N3	2.95
67	N4	3.15	
67	N5	2.8	
68	N1	5.8
68	N2	5.36
68	N3	3.15
68	N4	3.35	
68	N5	2.95	
69	N1	6.1
69	N2	5.4
69	N3	3.3
69	N4	3.55	
69	N5	3.1	
70	N1	6.3
70	N2	5.5
70	N3	3.5
70	N4	3.7	
70	N5	3.2	
70	N6	0.03	
70	N7	0.03	
71	N1	6.6
71	N2	5.5
71	N3	3.65
71	N4	3.8	
71	N5	3.3	
71	N6	0.03	
71	N7	0.03	
72	N1	6.8
72	N2	5.6
72	N3	3.85
72	N4	3.9	
72	N5	3.5	
72	N6	0.07	
72	N7	0.03	
73	N1	7.0
73	N2	5.7
73	N3	4.0
73	N4	4.0	
73	N5	3.65	
73	N6	0.08	
73	N7	0.04	
74	N1	7.3
74	N2	5.8
74	N3	4.2
74	N4	4.1	
74	N5	3.8	
74	N6	0.1	
74	N7	0.06	
75	N1	7.5
75	N2	5.9
75	N3	4.4
75	N4	4.1	
75	N5	3.9	
75	N6	0.15	
75	N7	0.11
76	N1	7.7
76	N2	6.0
76	N3	4.6
76	N4	4.1	
76	N5	3.9	
76	N6	0.22	
76	N7	0.18
77	N1	8.0
77	N2	6.1
77	N3	4.75
77	N4	4.1	
77	N5	4.0	
77	N6	0.31	
77	N7	0.27
78	N1	8.25
78	N2	6.25
78	N3	4.9
78	N4	4.1	
78	N5	3.95	
78	N6	0.35	
78	N7	0.31
79	N1	8.5
79	N2	6.4
79	N3	5.05
79	N4	4.1	
79	N5	3.9	
79	N6	0.37	
79	N7	0.33
80	N1	8.8
80	N2	6.55
80	N3	5.3
80	N4	4.0	
80	N5	3.85	
80	N6	0.33	
80	N7	0.31
81	N1	9.1
81	N2	6.7
81	N3	5.6
81	N4	3.9	
81	N5	3.8	
81	N6	0.29	
81	N7	0.27
82	N1	9.35
82	N2	6.9
82	N3	5.8
82	N4	3.8	
82	N5	3.8	
82	N6	0.26	
82	N7	0.23
83	N1	9.6
83	N2	7.2
83	N3	5.95
83	N4	3.8	
83	N5	3.8	
83	N6	0.22	
83	N7	0.2
84	N1	9.9
84	N2	7.35
84	N3	6.2
84	N4	3.9	
84	N5	3.8	
84	N6	0.19	
84	N7	0.18
85	N1	10.1
85	N2	7.6
85	N3	6.4
85	N4	3.9	
85	N5	3.85	
85	N6	0.17	
85	N7	0.16
86	N1	10.4
86	N2	7.8
86	N3	6.6
86	N4	4.0	
86	N5	3.9	
86	N6	0.16	
86	N7	0.16
87	N1	10.7
87	N2	8.1
87	N3	6.8
87	N4	4.1	
87	N5	3.95	
87	N6	0.15	
87	N7	0.15
88	N1	10.95
88	N2	8.3
88	N3	7.0
88	N4	4.15	
88	N5	4.0	
88	N6	0.15	
88	N7	0.16
89	N1	11.2
89	N2	8.5
89	N3	7.25
89	N4	4.2	
89	N5	4.05
89	N6	0.15	
89	N7	0.17
90	N1	11.5
90	N2	8.75
90	N3	7.5
90	N4	4.3	
90	N5	4.1
90	N6	0.15	
90	N7	0.18
91	N1	11.6
91	N2	9.2
91	N3	7.75
91	N4	4.4	
91	N5	4.2
91	N6	0.29	
91	N7	0.25
92	N1	12.2
92	N2	9.6
92	N3	8.0
92	N4	4.5	
92	N5	4.25
92	N6	0.37	
92	N7	0.31
