  60  KL2  0.2834
  60  KM3  0.1040
  60  KM2  0.0539
  60 L3M5  0.7325
  60 L2M4  0.8211
  60 L1M3  0.4556
  60 L2N4  0.1483
  60 L3M1  0.0325
  61  KL3  0.5149
  61  KL2  0.2835
  61  KM3  0.1050
  61  KM2  0.0535
  61 L3M5  0.7327
  61 L2M4  0.8196
  61 L1M3  0.4525
  61 L2N4  0.1490
  61 L3M1  0.0328
  62  KL3  0.5138
  62  KL2  0.2839
  62  KM3  0.1050
  62  KM2  0.0541
  62 L3M5  0.7300
  62 L2M4  0.8210
  62 L1M3  0.4499
  62 L2N4  0.1502
  62 L3M1  0.0310
  63  KL3  0.5127
  63  KL2  0.2842
  63  KM3  0.1050
  63  KM2  0.0547
  63 L3M5  0.7307
  63 L2M4  0.8199
  63 L1M3  0.4467
  63 L2N4  0.1505
  63 L3M1  0.0333
  64  KL3  0.5113
  64  KL2  0.2842
  64  KM3  0.1060
  64  KM2  0.0541
  64 L3M5  0.7281
  64 L2M4  0.8171
  64 L1M3  0.4432
  64 L2N4  0.1524
  64 L3M1  0.0336
  65  KL3  0.5105
  65  KL2  0.2847
  65  KM3  0.1060
  65  KM2  0.0548
  65 L3M5  0.7278
  65 L2M4  0.8187
  65 L1M3  0.4413
  65 L2N4  0.1518
  65 L3M1  0.0340
  66  KL3  0.5092
  66  KL2  0.2847
  66  KM3  0.1060
  66  KM2  0.0553
  66 L3M5  0.7268
  66 L2M4  0.8220
  66 L1M3  0.4386
  66 L2N4  0.1530
  66 L3M1  0.0345
  67  KL3  0.5081
  67  KL2  0.2851
  67  KM3  0.1070
  67  KM2  0.0549
  67 L3M5  0.7260
  67 L2M4  0.8215
  67 L1M3  0.4357
  67 L2N4  0.1536
  67 L3M1  0.0349
  68  KL3  0.5072
  68  KL2  0.2857
  68  KM3  0.1070
  68  KM2  0.0554
  68 L3M5  0.7263
  68 L2M4  0.8210
  68 L1M3  0.4326
  68 L2N4  0.1540
  68 L3M1  0.0350
  69  KL3  0.5059
  69  KL2  0.2861
  69  KM3  0.1070
  69  KM2  0.0558
  69 L3M5  0.7252
  69 L2M4  0.8200
  69 L1M3  0.4295
  69 L2N4  0.1544
  69 L3M1  0.0354
  70  KL3  0.5050
  70  KL2  0.2865
