36 M1  4.90000000000212E-0005
36 M2  6.00000000000045E-0005
36 M3  6.00000000000045E-0005
36 M4  2.70000000000081E-0003
36 M5  0.00000000000000E+0000
36 N1  1.13684000000030E-0005
36 N2  1.23157999999961E-0002
36 N3  1.23157999999961E-0002
37 K   6.43192999999883E-0001
37 L1  4.60000000000349E-0003
37 L2  2.19999999999914E-0002
37 L3  2.40000000000009E-0002
37 M1  5.42499999999779E-0005
37 M2  4.85000000000069E-0005
37 M3  8.24999999999854E-0005
37 M4  2.70000000000081E-0003
37 M5  0.00000000000000E+0000
37 N1  1.16842000000005E-0005
37 N2  1.26578999999935E-0002
37 N3  1.26578999999935E-0002
38 K   6.64652000000387E-0001
38 L1  5.09999999999877E-0003
38 L2  2.40000000000009E-0002
38 L3  2.60000000000105E-0002
38 M1  5.94999999999901E-0005
38 M2  3.70000000000092E-0005
38 M3  1.05000000000021E-0004
38 M4  2.70000000000081E-0003
38 M5  0.00000000000000E+0000
38 N1  1.19999999999981E-0005
38 N2  1.30000000000052E-0002
38 N3  1.30000000000052E-0002
39 K   6.85290000000350E-0001
39 L1  5.89999999999691E-0003
39 L2  2.60000000000105E-0002
39 L3  2.79999999999916E-0002
39 M1  6.47499999999468E-0005
39 M2  2.55000000000116E-0005
39 M3  1.27500000000058E-0004
39 M4  2.70000000000081E-0003
39 M5  0.00000000000000E+0000
39 N1  7.01000000000174E-0006
39 N2  6.51150000000200E-0003
39 N3  6.51150000000200E-0003
40 K   7.05114000000322E-0001
40 L1  6.79999999999836E-0003
40 L2  2.79999999999916E-0002
40 L3  3.10000000000059E-0002
40 M1  7.00000000000145E-0005
40 M2  1.40000000000001E-0005
40 M3  1.50000000000094E-0004
40 M4  2.70000000000081E-0003
40 M5  0.00000000000000E+0000
40 N1  2.01999999999841E-0006
40 N2  2.29999999999952E-0005
40 N3  2.29999999999952E-0005
41 K   7.24132999999711E-0001
41 L1  9.39999999999941E-0003
41 L2  3.10000000000059E-0002
41 L3  3.39999999999918E-0002
41 M1  8.24999999999854E-0005
41 M2  7.55000000000061E-0005
41 M3  1.70000000000003E-0004
41 M4  2.74999999999892E-0003
41 M5  0.00000000000000E+0000
41 N1  1.36000000000059E-0006
41 N2  1.51000000000040E-0005
41 N3  1.51000000000040E-0005
42 K   7.42357000000084E-0001
42 L1  1.00000000000051E-0002
42 L2  3.39999999999918E-0002
42 L3  3.69999999999777E-0002
42 M1  9.49999999999562E-0005
42 M2  1.37000000000054E-0004
42 M3  1.89999999999912E-0004
42 M4  2.80000000000058E-0003
42 M5  0.00000000000000E+0000
42 N1  7.00000000000180E-0007
42 N2  7.19999999999887E-0006
42 N3  7.19999999999887E-0006
43 K   7.59794999999940E-0001
43 L1  1.09999999999956E-0002
43 L2  3.69999999999777E-0002
43 L3  4.00000000000205E-0002
43 M1  1.07500000000038E-0004
43 M2  1.98499999999990E-0004
43 M3  2.10000000000043E-0004
43 M4  2.84999999999869E-0003
43 M5  0.00000000000000E+0000
43 N1  5.40000000000262E-0007
43 N2  6.69999999999837E-0006
43 N3  6.69999999999837E-0006
44 K   7.76455999999598E-0001
44 L1  1.20000000000004E-0002
44 L2  4.00000000000205E-0002
44 L3  4.30000000000064E-0002
44 M1  1.20000000000009E-0004
44 M2  2.59999999999927E-0004
44 M3  2.29999999999952E-0004
44 M4  2.90000000000035E-0003
44 M5  0.00000000000000E+0000
44 N1  3.79999999999912E-0007
44 N2  6.19999999999787E-0006
44 N3  6.19999999999787E-0006
45 K   7.92352000000392E-0001
45 L1  1.30000000000052E-0002
45 L2  4.30000000000064E-0002
45 L3  4.59999999999923E-0002
45 M1  1.36667000000035E-0004
45 M2  3.03333000000183E-0004
45 M3  2.59999999999927E-0004
45 M4  2.83333000000141E-0003
45 M5  0.00000000000000E+0000
45 N1  2.96666999999827E-0007
45 N2  6.93333000000018E-0006
45 N3  6.93333000000018E-0006
45 N4  3.77999999999837E-0006
45 N5  3.77999999999837E-0006
46 K   8.07493999999679E-0001
46 L1  1.39999999999957E-0002
46 L2  4.70000000000255E-0002
46 L3  4.89999999999782E-0002
46 M1  1.53333000000089E-0004
46 M2  3.46667000000078E-0004
46 M3  2.90000000000124E-0004
46 M4  2.76666999999975E-0003
46 M5  0.00000000000000E+0000
46 N1  2.13332999999963E-0007
46 N2  7.66667000000332E-0006
46 N3  7.66667000000332E-0006
46 N4  3.86399999999926E-0006
46 N5  3.86399999999926E-0006
47 K   8.21891999999934E-0001
47 L1  1.59999999999911E-0002
47 L2  5.09999999999877E-0002
47 L3  5.20000000000209E-0002
47 M1  1.70000000000003E-0004
47 M2  3.89999999999890E-0004
47 M3  3.19999999999876E-0004
47 M4  2.70000000000081E-0003
47 M5  0.00000000000000E+0000
47 N1  1.30000000000095E-0007
47 N2  8.40000000000563E-0006
47 N3  8.40000000000563E-0006
47 N4  3.94799999999668E-0006
47 N5  3.94799999999668E-0006
48 K   8.35557999999764E-0001
48 L1  1.80000000000007E-0002
48 L2  5.59999999999832E-0002
48 L3  5.59999999999832E-0002
48 M1  1.96666999999984E-0004
48 M2  4.93332999999652E-0004
48 M3  3.93332999999885E-0004
48 M4  2.70000000000081E-0003
48 M5  0.00000000000000E+0000
48 N1  9.49999999999779E-0008
48 N2  7.93333000000118E-0006
48 N3  7.93333000000118E-0006
48 N4  4.03200000000103E-0006
48 N5  4.03200000000103E-0006
49 K   8.48504999999932E-0001
49 L1  2.00000000000102E-0002
49 L2  6.09999999999786E-0002
49 L3  6.00000000000023E-0002
49 M1  2.23333000000103E-0004
49 M2  5.96666999999940E-0004
49 M3  4.66666999999976E-0004
49 M4  2.70000000000081E-0003
49 M5  0.00000000000000E+0000
49 N1  5.99999999999689E-0008
49 N2  7.46666999999757E-0006
49 N3  7.46666999999757E-0006
49 N4  4.11599999999845E-0006
49 N5  4.11599999999845E-0006
50 K   8.60744999999952E-0001
50 L1  3.69999999999777E-0002
50 L2  6.50000000000546E-0002
50 L3  6.39999999999645E-0002
50 M1  2.49999999999861E-0004
50 M2  7.00000000000145E-0004
50 M3  5.39999999999985E-0004
50 M4  2.70000000000081E-0003
50 M5  0.00000000000000E+0000
50 N1  2.49999999999871E-0008
50 N2  7.00000000000006E-0006
50 N3  7.00000000000006E-0006
50 N4  4.20000000000281E-0006
50 N5  4.20000000000281E-0006
51 K   8.72290999999677E-0001
51 L1  3.89999999999873E-0002
51 L2  6.89999999999600E-0002
51 L3  6.89999999999600E-0002
51 M1  3.05000000000000E-0004
51 M2  7.50000000000028E-0004
51 M3  5.75000000000436E-0004
51 M4  2.70000000000081E-0003
51 M5  0.00000000000000E+0000
51 N1  3.76875000000082E-0006
51 N2  1.89999999999912E-0005
