
#S 1 L1 Subshell X-ray emission rates.
#U0 File: AP0L1R.DAT received by courtesy of J.L. Campbell
#U1 
#U2 X-ray emission rates for determining relative x-ray line intensities.
#U3 
#U4 Reference: J.L.Campbell and J.X.Wang. Interpolated Dirac-Fock values of L
#U5 subshell X-ray emission rates including overlap and exchange effects. At.Data
#U6 Nucl.Data Tables 43 (1989) 281-291.
#U7 
#N 10
#L Z   L1L3      L1M2      L1M3      L1N2      L1N3      L1O23     L1P23     L1M45     L1N45
31  4.277E-2  9.535E-1  3.745E-3  0         0         0         0
32  4.033E-2  9.557E-1  3.967E-3  0         0         0         0
33  3.837E-2  9.575E-1  4.108E-3  0         0         0         0
34  3.684E-2  9.589E-1  4.226E-3  0         0         0         0
35  3.556E-2  9.601E-1  4.358E-3  0         0         0         0
36  3.451E-2  9.610E-1  4.489E-3  0         0         0         0
37  3.355E-2  9.617E-1  4.797E-3  0         0         0         0
38  3.271E-2  9.622E-1  5.060E-3  0         0         0         0
39  3.195E-2  9.629E-1  5.151E-3  0         0         0         0
40  3.078E-2  9.492E-1  4.977E-3  1.503E-2  0         0         0
41  2.978E-2  9.356E-1  5.005E-3  2.899E-2  5.843E-4  0         0
42  2.905E-2  9.266E-1  5.066E-3  3.901E-2  2.411E-4  0         0
43  2.829E-2  9.170E-1  5.076E-3  4.935E-2  2.353E-4  0         0
44  2.758E-2  9.073E-1  5.066E-3  5.985E-2  2.266E-4  0         0
45  2.708E-2  8.969E-1  5.067E-3  7.074E-2  2.182E-4  0         0
46  2.646E-2  8.841E-1  4.999E-3  8.418E-2  2.071E-4  0         0
47  2.606E-2  8.758E-1  5.019E-3  9.295E-2  2.144E-4  0         0
48  2.567E-2  8.681E-1  5.036E-3  1.006E-1  5.098E-4  0         0
49  2.526E-2  8.611E-1  5.063E-3  1.080E-1  5.971E-4  0         0
50  2.493E-2  8.546E-1  5.113E-3  1.147E-1  6.448E-4  0         0
51  2.455E-2  8.491E-1  5.156E-3  1.205E-1  6.840E-4  0         0
52  2.426E-2  8.439E-1  5.203E-3  1.259E-1  7.266E-4  0         0
53  2.398E-2  8.391E-1  5.240E-3  1.309E-1  7.786E-4  0         0
54  2.373E-2  8.348E-1  5.277E-3  1.353E-1  8.440E-4  0         0
55  2.349E-2  8.306E-1  5.319E-3  1.397E-1  9.086E-4  0         0
56  2.325E-2  8.262E-1  5.356E-3  1.441E-1  9.706E-4  0         1.592E-4
57  2.299E-2  8.228E-1  5.380E-3  1.477E-1  1.016E-3  0         1.768E-4
58  2.292E-2  8.241E-1  5.368E-3  1.465E-1  9.519E-4  0         1.444E-4
59  2.286E-2  8.229E-1  5.389E-3  1.477E-1  9.428E-4  0         1.382E-4
60  2.275E-2  8.222E-1  5.391E-3  1.486E-1  9.350E-4  0         1.325E-4
61  2.271E-2  8.215E-1  5.401E-3  1.493E-1  9.261E-4  0         1.275E-4
62  2.261E-2  8.209E-1  5.399E-3  1.501E-1  9.171E-4  0         1.231E-4
63  2.253E-2  8.206E-1  5.398E-3  1.505E-1  9.091E-4  0         1.191E-4
64  2.244E-2  8.186E-1  5.421E-3  1.524E-1  9.444E-4  0         1.359E-4
65  2.241E-2  8.195E-1  5.406E-3  1.517E-1  8.949E-4  0         1.124E-4
66  2.237E-2  8.190E-1  5.422E-3  1.522E-1  8.878E-4  0         1.094E-4
67  2.237E-2  8.183E-1  5.426E-3  1.529E-1  8.822E-4  0         1.068E-4
68  2.230E-2  8.180E-1  5.426E-3  1.533E-1  8.755E-4  0         1.039E-4
69  2.230E-2  8.172E-1  5.444E-3  1.540E-1  8.697E-4  0         1.013E-4
70  2.228E-2  8.168E-1  5.447E-3  1.545E-1  8.628E-4  0         9.834E-5
71  2.223E-2  8.155E-1  5.456E-3  1.558E-1  8.908E-4  0         1.101E-4
72  2.219E-2  8.139E-1  5.484E-3  1.574E-1  9.210E-4  0         1.160E-4
73  2.207E-2  8.094E-1  5.476E-3  1.584E-1  9.466E-4  3.552E-3  1.194E-4
74  2.204E-2  8.062E-1  5.497E-3  1.599E-1  9.771E-4  5.281E-3  1.221E-4
75  2.195E-2  8.032E-1  5.508E-3  1.610E-1  1.007E-3  7.192E-3  1.242E-4
76  2.188E-2  7.998E-1  5.525E-3  1.623E-1  1.039E-3  9.291E-3  1.258E-4
77  2.178E-2  7.953E-1  5.532E-3  1.632E-1  1.063E-3  1.313E-2  0
78  2.175E-2  7.927E-1  5.559E-3  1.640E-1  1.092E-3  1.485E-2  5.624E-5
79  2.168E-2  7.893E-1  5.581E-3  1.649E-1  1.118E-3  1.741E-2  5.656E-5
80  2.166E-2  7.867E-1  5.597E-3  1.656E-1  1.149E-3  1.915E-2  1.296E-4
81  2.165E-2  7.836E-1  5.621E-3  1.668E-1  1.179E-3  2.098E-2  1.577E-4
82  2.160E-2  7.809E-1  5.649E-3  1.678E-1  1.211E-3  2.273E-2  1.788E-4
83  2.160E-2  7.781E-1  5.672E-3  1.688E-1  1.239E-3  2.436E-2  1.967E-4
84  2.153E-2  7.756E-1  5.701E-3  1.698E-1  1.270E-3  2.590E-2  2.133E-4
85  2.154E-2  7.728E-1  5.725E-3  1.710E-1  1.301E-3  2.741E-2  2.289E-4
86  2.154E-2  7.702E-1  5.755E-3  1.721E-1  1.333E-3  2.883E-2  2.434E-4
87  2.155E-2  7.676E-1  5.789E-3  1.732E-1  1.365E-3  3.027E-2  2.645E-4
88  2.153E-2  7.651E-1  5.817E-3  1.742E-1  1.395E-3  3.168E-2  2.846E-4
89  2.155E-2  7.623E-1  5.851E-3  1.755E-1  1.425E-3  3.305E-2  3.026E-4
90  2.156E-2  7.599E-1  5.879E-3  1.765E-1  1.454E-3  3.438E-2  3.193E-4
91  2.157E-2  7.579E-1  5.911E-3  1.778E-1  1.478E-3  3.504E-2  3.151E-4
92  2.160E-2  7.558E-1  5.945E-3  1.789E-1  1.507E-3  3.592E-2  3.219E-4
93  2.163E-2  7.537E-1  5.977E-3  1.801E-1  1.533E-3  3.678E-2  3.324E-4
94  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
95  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
96  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
97  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
98  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
99  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
100  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
101  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
102  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
103  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
104  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
105  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
106  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
107  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
108  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4
109  2.169E-2  7.519E-1  6.010E-3  1.811E-1  1.557E-3  3.738E-2  3.333E-4

#S 3 L3 Subshell X-ray emission rates.
#U0 File: AP0L3R.DAT received by courtesy of J.L. Campbell
#U1 
#U2 X-ray emission rates for determining relative x-ray line intensities.
#U3 
#U4 Reference: J.L.Campbell and J.X.Wang. Interpolated Dirac-Fock values of L
#U5 subshell X-ray emission rates including overlap and exchange effects. At.Data
#U6 Nucl.Data Tables 43 (1989) 281-291.
#U7 
#N 10
#L Z   L3M1      L3M4      L3M5      L3N1      L3N4      L3N5      L3O1      L3O45     L3P1
1   0         0         0         0         0         0         0         0         0
2   0         0         0         0         0         0         0         0         0
3   0         0         0         0         0         0         0         0         0
4   0         0         0         0         0         0         0         0         0
5   0         0         0         0         0         0         0         0         0
6   0         0         0         0         0         0         0         0         0
7   0         0         0         0         0         0         0         0         0
8   0         0         0         0         0         0         0         0         0
9   0         0         0         0         0         0         0         0         0
10   0         0         0         0         0         0         0         0         0
11   0         0         0         0         0         0         0         0         0
12   0         0         0         0         0         0         0         0         0
13   0         0         0         0         0         0         0         0         0
14   0         0         0         0         0         0         0         0         0
15   0         0         0         0         0         0         0         0         0
16   0         0         0         0         0         0         0         0         0
17   0         0         0         0         0         0         0         0         0
18  1         0         0         0         0         0         0         0         0
19  1         0         0         0         0         0         0         0         0
20  1         0         0         0         0         0         0         0         0
21  1         0         0         0         0         0         0         0         0
22  1         0         0         0         0         0         0         0         0
23  1         0         0         0         0         0         0         0         0
24  1         0         0         0         0         0         0         0         0
25  1         0         0         0         0         0         0         0         0
26  8.581E-2  9.302E-2  8.137E-1  7.437E-3  0         0         0         0         0
27  7.263E-2  9.457E-2  8.268E-1  6.042E-3  0         0         0         0         0
28  6.288E-2  9.575E-2  8.364E-1  4.982E-3  0         0         0         0         0
29  5.377E-2  9.734E-2  8.474E-1  1.535E-3  0         0         0         0         0
30  4.935E-2  9.732E-2  8.499E-1  3.474E-3  0         0         0         0         0
31  4.616E-2  9.740E-2  8.524E-1  4.072E-3  0         0         0         0         0
32  4.384E-2  9.744E-2  8.545E-1  4.251E-3  0         0         0         0         0
33  4.204E-2  9.758E-2  8.559E-1  4.523E-3  0         0         0         0         0
34  4.067E-2  9.760E-2  8.570E-1  4.720E-3  0         0         0         0         0
35  3.954E-2  9.762E-2  8.580E-1  4.879E-3  0         0         0         0         0
36  3.865E-2  9.762E-2  8.587E-1  5.003E-3  0         0         0         0         0
37  3.789E-2  9.755E-2  8.593E-1  5.304E-3  0         0         0         0         0
38  3.722E-2  9.762E-2  8.596E-1  5.569E-3  0         0         0         0         0
39  3.665E-2  9.758E-2  8.601E-1  5.714E-3  0         0         0         0         0
40  3.569E-2  9.607E-2  8.468E-1  5.723E-3  1.515E-3  1.341E-2  7.861E-4  0         0
41  3.490E-2  9.471E-2  8.356E-1  5.767E-3  2.925E-3  2.578E-2  3.226E-4  0         0
42  3.429E-2  9.381E-2  8.272E-1  5.884E-3  3.924E-3  3.461E-2  3.170E-4  0         0
43  3.372E-2  9.283E-2  8.185E-1  5.965E-3  4.954E-3  4.370E-2  3.081E-4  0         0
44  3.320E-2  9.182E-2  8.097E-1  6.039E-3  5.999E-3  5.293E-2  3.003E-4  0         0
45  3.293E-2  9.084E-2  8.001E-1  6.089E-3  7.100E-3  6.265E-2  2.909E-4  0         0
46  3.263E-2  8.961E-2  7.892E-1  6.091E-3  8.442E-3  7.400E-2  0         0         0
47  3.237E-2  8.862E-2  7.815E-1  6.163E-3  9.295E-3  8.181E-2  2.635E-4  0         0
48  3.213E-2  8.780E-2  7.746E-1  6.235E-3  1.002E-2  8.859E-2  6.283E-4  0         0
49  3.199E-2  8.704E-2  7.680E-1  6.345E-3  1.074E-2  9.513E-2  7.559E-4  0         0
50  3.183E-2  8.632E-2  7.624E-1  6.467E-3  1.137E-2  1.009E-1  8.068E-4  0         0
51  3.171E-2  8.564E-2  7.573E-1  6.576E-3  1.192E-2  1.060E-1  8.927E-4  0         0
52  3.165E-2  8.514E-2  7.525E-1  6.697E-3  1.243E-2  1.106E-1  9.687E-4  0         0
53  3.158E-2  8.457E-2  7.482E-1  6.818E-3  1.289E-2  1.149E-1  1.036E-3  0         0
54  3.158E-2  8.412E-2  7.442E-1  6.946E-3  1.331E-2  1.187E-1  1.100E-3  0         0
55  3.162E-2  8.378E-2  7.403E-1  7.065E-3  1.370E-2  1.224E-1  1.200E-3  0         0
56  3.169E-2  8.346E-2  7.362E-1  7.176E-3  1.409E-2  1.259E-1  1.301E-3  0         2.123E-4
57  3.175E-2  8.305E-2  7.326E-1  7.300E-3  1.444E-2  1.293E-1  1.381E-3  0         2.383E-4
58  3.205E-2  8.335E-2  7.335E-1  7.356E-3  1.432E-2  1.279E-1  1.304E-3  0         1.971E-4
59  3.227E-2  8.328E-2  7.324E-1  7.446E-3  1.441E-2  1.287E-1  1.305E-3  0         1.903E-4
60  3.246E-2  8.288E-2  7.322E-1  7.528E-3  1.443E-2  1.290E-1  1.301E-3  0         1.842E-4
61  3.275E-2  8.280E-2  7.314E-1  7.612E-3  1.449E-2  1.295E-1  1.302E-3  0         1.794E-4
62  3.308E-2  8.293E-2  7.304E-1  7.727E-3  1.453E-2  1.299E-1  1.306E-3  0         1.753E-4
63  3.333E-2  8.261E-2  7.302E-1  7.796E-3  1.454E-2  1.301E-1  1.306E-3  0         1.710E-4
64  3.360E-2  8.259E-2  7.282E-1  7.914E-3  1.469E-2  1.315E-1  1.371E-3  0         1.970E-4
65  3.399E-2  8.263E-2  7.287E-1  7.995E-3  1.461E-2  1.306E-1  1.316E-3  0         1.650E-4
66  3.437E-2  8.256E-2  7.280E-1  8.104E-3  1.463E-2  1.309E-1  1.321E-3  0         1.624E-4
67  3.474E-2  8.259E-2  7.277E-1  8.214E-3  1.466E-2  1.306E-1  1.328E-3  0         1.602E-4
68  3.510E-2  8.238E-2  7.270E-1  8.319E-3  1.464E-2  1.311E-1  1.331E-3  0         1.576E-4
69  3.546E-2  8.250E-2  7.261E-1  8.425E-3  1.469E-2  1.313E-1  1.339E-3  0         1.554E-4
