
#S 1 L1 x-ray emission rates
#N 20
#L Z  TOTAL  L1L2  L1L3  L1M1  L1M2  L1M3  L1M4  L1M5  L1N1  L1N2  L1N3  L1N4  L1N5  L1N67  L1O1  L1O2  L1O3  L1O45  L1P23
72  0.70143  0.00017635  0.017635  3.1792e-006  0.32519  0.41929  0.0088962  0.01333  1.3016e-006  0.078982  0.10721  0.0012346  0.0019218  1.9389e-005  2.4664e-007  0.011291  0.014784  3.1365e-005  0  
73  0.75202  0.00016928  0.01859  3.5106e-006  0.32619  0.41488  0.0092019  0.013763  1.4494e-006  0.079652  0.10691  0.0012872  0.0020066  2.2074e-005  2.8324e-007  0.011861  0.015399  5.6914e-005  0  
74  0.80489  0.00016251  0.019618  3.8887e-006  0.3275  0.41  0.0095044  0.014226  1.6151e-006  0.080384  0.1066  0.0013443  0.0020972  2.4848e-005  3.2427e-007  0.012449  0.016002  8.8832e-005  0  
75  0.86128  0.00015605  0.020713  4.2843e-006  0.32858  0.40521  0.009811  0.014687  1.788e-006  0.081158  0.10635  0.0014014  0.0021909  2.7982e-005  3.7038e-007  0.013016  0.016557  0.00012748  0  
76  0.9204  0.00015004  0.021882  4.7262e-006  0.33029  0.39982  0.010126  0.015156  1.9883e-006  0.08192  0.10604  0.0014613  0.0022892  3.1182e-005  4.2155e-007  0.013581  0.017069  0.00017297  0  
77  0.98147  0.00014458  0.023159  5.2167e-006  0.33114  0.39533  0.010464  0.01567  2.211e-006  0.082835  0.10586  0.0015263  0.0023944  3.4744e-005  4.7684e-007  0.013959  0.017229  0.0002536  0  
78  1.0476  0.00013908  0.024475  5.7464e-006  0.33219  0.39041  0.010786  0.016151  2.4437e-006  0.083619  0.10538  0.0015903  0.0025  3.8469e-005  5.4219e-007  0.014586  0.017822  0.00030259  0  
79  1.1172  0.000134  0.025886  6.3105e-006  0.33387  0.38489  0.011126  0.016658  2.7122e-006  0.084408  0.105  0.0016568  0.0026092  4.2428e-005  6.1315e-007  0.015109  0.018224  0.00037147  0  
80  1.1907  0.000129  0.027378  6.9369e-006  0.33509  0.3796  0.011472  0.017166  2.9981e-006  0.085241  0.10447  0.0017258  0.002721  4.661e-005  6.9537e-007  0.015738  0.018787  0.00042915  0  
81  1.2674  0.00012434  0.029035  7.6216e-006  0.33611  0.37398  0.011827  0.017697  3.3138e-006  0.086  0.10399  0.0017981  0.0028404  5.1205e-005  7.8741e-007  0.016372  0.019346  0.00049391  0.00032427  
82  1.3494  0.00011983  0.03068  8.374e-006  0.33718  0.36831  0.012176  0.018223  3.6534e-006  0.086778  0.1033  0.0018712  0.0029568  5.595e-005  8.8927e-007  0.017  0.019883  0.00055876  0.00089446  
83  1.4361  0.00011545  0.032518  9.1219e-006  0.33842  0.36209  0.012534  0.018752  4.0317e-006  0.087528  0.10264  0.0019462  0.0030847  6.0998e-005  1.0027e-006  0.017631  0.020388  0.000626  0.0016559  
84  1.5273  0.00011138  0.034375  1.0018e-005  0.33917  0.35619  0.012899  0.019296  4.4393e-006  0.088328  0.10188  0.0020232  0.0032149  6.6328e-005  1.1262e-006  0.018255  0.020887  0.00069406  0.0025863  
85  1.6241  0.00010732  0.036451  1.096e-005  0.34049  0.34973  0.013269  0.019826  4.8888e-006  0.088971  0.10104  0.0021058  0.0033433  7.1916e-005  1.2684e-006  0.018841  0.021304  0.00076411  0.0036697  
86  1.725  0.00010354  0.03861  1.2e-005  0.34146  0.3432  0.013653  0.020406  5.374e-006  0.089741  0.10018  0.0021856  0.0034783  7.7799e-005  1.4203e-006  0.019479  0.021682  0.00083654  0.0048987  
87  1.8314  9.9762e-005  0.040898  1.3105e-005  0.34237  0.33691  0.014039  0.020968  5.8972e-006  0.090533  0.09927  0.0022715  0.0036202  8.409e-005  1.5944e-006  0.020094  0.02206  0.00091298  0.0058536  
88  1.9434  9.6172e-005  0.043326  1.4305e-005  0.34373  0.33035  0.014439  0.02156  6.4835e-006  0.091233  0.098282  0.0023619  0.0037666  9.0615e-005  1.7855e-006  0.020686  0.022384  0.0009926  0.0066791  
89  2.0606  9.2738e-005  0.045957  1.5626e-005  0.34504  0.32369  0.01485  0.022178  7.1337e-006  0.09201  0.0973  0.0024507  0.0039211  9.7543e-005  1.9945e-006  0.021256  0.022711  0.0010749  0.0073521  
90  2.183  8.9465e-005  0.048741  1.7041e-005  0.34631  0.317  0.015254  0.022767  7.8333e-006  0.092809  0.096244  0.002547  0.004077  0.00010486  2.2263e-006  0.021897  0.022996  0.0011603  0.0079753  
91  2.3102  8.6312e-005  0.051727  1.8613e-005  0.34802  0.31079  0.015713  0.023418  8.5706e-006  0.09367  0.095185  0.0026491  0.004242  0.0001125  2.4716e-006  0.022379  0.023028  0.0012246  0.0077265  
