
#S 1 M1 emission rates
#N 20
#L Z  TOTAL  M1M2  M1M3  M1M4  M1M5  M1N1  M1N2  M1N3  M1N4  M1N5  M1N6  M1N7  M1O1  M1O2  M1O3  M1O4  M1O5  M1P2  M1P3
40  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
41  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
42  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
43  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
44  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
45  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
46  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
47  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
48  0.0004689  1.4502e-007  0.30497  3.8388e-009  0.31137  2.9857e-009  0.00020921  0.35829  1.1943e-007  0  0  0.025165  0  0  0  0  0  0  0  
49  0.00059763  2.1944e-007  0.26414  4.1354e-009  0.2945  4.8764e-009  0.0002399  0.41019  2.0223e-007  0  0  0.030932  0  0  0  0  0  0  0  
50  0.00072636  2.6748e-007  0.23778  4.3269e-009  0.28361  6.0969e-009  0.00025971  0.4437  2.5568e-007  0  0  0.034654  0  0  0  0  0  0  0  
51  0.00085509  3.0105e-007  0.21936  4.4607e-009  0.27599  6.95e-009  0.00027355  0.46712  2.9303e-007  0  0  0.037256  0  0  0  0  0  0  0  
52  0.00098382  3.2584e-007  0.20576  4.5595e-009  0.27037  7.5798e-009  0.00028378  0.48441  3.2062e-007  0  0  0.039177  0  0  0  0  0  0  0  
53  0.0011126  3.449e-007  0.1953  4.6354e-009  0.26605  8.0638e-009  0.00029163  0.4977  3.4181e-007  0  0  0.040653  0  0  0  0  0  0  0  
54  0.0012413  3.6e-007  0.18702  4.6956e-009  0.26263  8.4475e-009  0.00029786  0.50823  3.5861e-007  0  0  0.041823  0  0  0  0  0  0  0  
55  0.0013739  3.7121e-007  0.17978  4.7312e-009  0.25912  8.7345e-009  0.00030207  0.51533  3.7121e-007  0  0  0.042653  1.7469e-009  4.4619e-005  0  0  0  0.0027586  0  
56  0.001622  6.0489e-007  0.16975  5.6927e-009  0.25326  1.4112e-008  0.00033978  0.53118  5.2131e-007  0  0  0.04239  3.0279e-009  5.209e-005  0  0  0  0.0030292  0  
57  0.0018701  7.7656e-007  0.16238  6.399e-009  0.24895  1.8062e-008  0.00036748  0.54282  6.3158e-007  0  0  0.042197  3.9689e-009  5.7579e-005  0  0  0  0.003228  0  
58  0.0021182  9.0801e-007  0.15674  6.9399e-009  0.24565  2.1087e-008  0.0003887  0.55173  7.1602e-007  0  0  0.042049  4.6896e-009  6.1782e-005  0  0  0  0.0033803  0  
