#F MShellConstants.dat
#U00 References:
#U01 M.H. Chen, B. Crasemann, H. Mark 
#U02      Relativistic M-shell radiationless transitions
#U03      Physical Review A volume 21 number 2 (1980) 449-453.
#U04 M.H. Chen, B. Crasemann, H. Mark 
#U05      Radiationless transitions to atomic M1,2,3 shells:
#U06      Results of relativistic theory
#U07      Physical Review A volume 27 number 6 (1983) 2989-2994.
#U08 Widths are given in eV
#U09

#S 1 M1 x-ray data
#N 7
#L Z  f12  f13  f14  f15  omegaM1  gammaM1
10  0  0  0  0  
11  0  0  0  0  
12  0  0  0  0  
13  0  0  0  0  
14  0  0  0  0  
15  0  0  0  0  
16  0  0  0  0  
17  0  0  0  0  
18  0  0  0  0  
19  0  0  0  0  
20  0  0  0  0  
21  0  0  0  0  
22  0  0  0  0  
23  0  0  0  0  
24  0  0  0  0  
25  0  0  0  0  
26  0  0  0  0  
27  0  0  0  0  
28  0  0  0  0  
29  0  0  0  0  
30  0  0  0  0  
31  0  0  0  0  
32  0  0  0  0  
33  0  0  0  0  
34  0  0  0  0  
35  0  0  0  0  
36  0  0  0  0  
37  0  0  0  0  
38  0  0  0  0  
39  0  0  0  0  
40  0  0  0  0  
41  0  0  0  0  
42  0  0  0  0  
43  0  0  0  0  
44  0  0  0  0  
45  0  0  0  0  
46  0  0  0  0  
47  0  0  0  0  
48  0  0  0  0  
49  0  0  0  0  
50  0  0  0  0  
51  0  0  0  0  
52  0  0  0  0  
53  0  0  0  0  
54  0  0  0  0  
55  0  0  0  0  
56  0  0  0  0  
57  0  0  0  0  
58  0  0  0  0  
59  0  0  0  0  
60  0  0  0  0  
61  0  0  0  0  
62  0  0  0  0  
63  0  0  0  0  
64  0  0  0  0  
65  0  0  0  0  
66  0  0  0  0  
67  0  0  0  0  
68  0  0  0  0  
69  0  0  0  0  
70  1.408  2.468  0.42  0.0094  
71  1.4955  2.318  0.32475  0.01205  
72  1.583  2.168  0.2295  0.0147  
73  1.6705  2.018  0.13425  0.01735  
74  1.758  1.868  0.039  0.02  
75  1.8415  1.965  0.040667  0.021333  
76  1.925  2.062  0.042333  0.022667  
77  2.0085  2.159  0.044  0.024  
78  2.092  2.256  0.045667  0.025333  
79  2.1755  2.353  0.047333  0.026667  
80  2.259  2.45  0.049  0.028  
81  2.3433  2.5537  0.051667  0.029667  
82  2.4277  2.6573  0.054333  0.031333  
83  2.512  2.761  0.057  0.033  
84  2.5942  2.862  0.058  0.035  
85  2.6764  2.963  0.059  0.037  
86  2.7586  3.064  0.06  0.039  
87  2.8408  3.165  0.061  0.041  
88  2.923  3.266  0.062  0.043  
89  2.993  3.378  0.0685  0.04475  
90  3.063  3.49  0.075  0.0465  
91  3.133  3.602  0.0815  0.04825  
92  3.203  3.714  0.088  0.05  
93  3.3137  3.8672  0.09175  0.05125  
94  3.4245  4.0205  0.0955  0.0525  
95  3.5352  4.1738  0.09925  0.05375  
96  3.646  4.327  0.103  0.055  
97  3.7345  4.4415  0.10275  0.05675  
98  3.823  4.556  0.1025  0.0585  
99  3.9115  4.6705  0.10225  0.06025  
100  4  4.785  0.102  0.062  
101  4  4.785  0.102  0.062  
102  4  4.785  0.102  0.062  
103  4  4.785  0.102  0.062  
104  4  4.785  0.102  0.062  
105  4  4.785  0.102  0.062  
106  4  4.785  0.102  0.062  
107  4  4.785  0.102  0.062  
108  4  4.785  0.102  0.062  
109  4  4.785  0.102  0.062  

#S 5 M5 x-ray data
#N 4
#L Z  gammaAM5  gammaM5  omegaM5
1  0  0  0  
2  0  0  0  
3  0  0  0  
4  0  0  0  
5  0  0  0  
6  0  0  0  
7  0  0  0  
8  0  0  0  
9  0  0  0  
10  0  0  0  
11  0  0  0  
12  0  0  0  
13  0  0  0  
14  0  0  0  
15  0  0  0  
16  0  0  0  
17  0  0  0  
18  0  0  0  
19  0  0  0  
20  0  0  0  
21  0  0  0  
22  0  0  0  
23  0  0  0  
24  0  0  0  
25  0  0  0  
26  0  0  0  
27  0  0  0  
28  0  0  0  
29  0  0  0  
30  0  0  0  
31  0  0  0  
32  0  0  0  
33  0  0  0  
34  0  0  0  
35  0  0  0  
36  0  0  0  
37  0  0  0  
38  0  0  0  
39  0  0  0  
40  0  0  0  
41  0  0  0  
42  0  0  0  
43  0  0  0  
44  0  0  0  
45  0  0  0  
46  0  0  0  
47  0  0  0  
48  0  0  0  
49  0  0  0  
50  0  0  0  
51  0  0  0  
52  0  0  0  
53  0  0  0  
54  0  0  0  
55  0  0  0  
56  0  0  0  
57  0  0  0  
58  0  0  0  
59  0  0  0  
60  0  0  0  
61  0  0  0  
62  0  0  0  
63  0  0  0  
64  0  0  0  
65  0  0  0  
